value,count
28083,525
29615,525
492XX,525
77026,525
21740,524
85212,524
94588,524
07011,523
21223,523
23454,523
27513,523
34986,523
60625,523
92505,523
94561,523
79934,522
95670,522
22202,521
60302,521
84047,521
85143,521
92545,521
29063,520
37421,520
39648,520
53212,520
33594,519
77327,519
46234,518
62226,518
92648,518
95608,518
995XX,518
93306,517
93619,517
10040,516
29154,516
91604,516
77055,515
85383,515
94585,515
02121,514
22192,514
38305,514
40219,514
456XX,514
60543,514
77041,514
77504,514
78748,514
80015,514
95630,514
07026,513
12550,513
20171,513
44312,513
30809,512
40509,512
60490,512
63130,512
85381,512
92105,512
083XX,511
38930,511
435XX,511
11369,510
11967,510
77546,510
33143,509
48103,509
70301,509
91706,509
28390,508
30021,508
84043,508
38655,507
20782,506
36109,506
63011,506
64133,506
75019,506
78702,506
94621,506
436XX,505
70802,505
77009,505
19901,504
33702,504
401XX,504
45240,504
53224,504
94538,504
27519,503
453XX,503
72205,503
92704,502
93021,502
95621,502
08901,501
10023,501
17057,501
85201,501
90066,501
90630,501
92020,501
10033,500
11372,500
21225,500
21230,500
28079,500
75119,500
90001,500
92109,500
08527,499
33432,499
33437,499
77087,499
15212,498
22314,498
28081,498
63139,498
93036,498
29708,497
29803,497
657XX,497
77074,497
08902,496
221XX,496
40511,496
609XX,496
91202,496
91786,496
93274,496
11355,495
560XX,495
610XX,495
816XX,495
85018,495
85210,495
11374,494
28115,494
30041,494
31601,494
46123,494
148XX,493
33713,493
448XX,493
63146,493
63303,493
78728,493
92115,493
93215,493
127XX,492
31705,492
37122,492
76013,492
77093,492
31904,491
60188,491
72401,491
77377,491
870XX,491
90035,491
23860,490
33914,490
36867,490
85027,490
91325,490
30224,489
32817,489
77571,489
90061,489
90712,489
06010,488
32505,488
33328,488
34219,488
75110,488
85260,488
85296,488
960XX,488
31324,487
37043,487
48198,487
80916,487
91326,487
11367,486
21202,486
32809,486
70001,486
75180,486
78745,486
92346,486
23222,485
93230,485
15206,484
33410,484
45424,484
493XX,484
92596,484
95831,484
31792,483
45011,483
10037,482
63129,482
685XX,482
77380,482
77845,482
78155,482
98122,482
33418,481
90503,481
92024,481
94103,481
02119,480
33040,480
76706,480
80016,480
90006,480
95829,480
985XX,480
016XX,479
10030,479
27615,479
32514,479
20110,478
23606,478
31061,478
30542,477
71202,477
92886,477
08053,476
31602,476
32701,476
70114,476
70118,476
90024,476
10306,475
27609,475
451XX,475
467XX,475
48214,475
60133,475
60452,475
76106,475
94804,475
85140,474
90660,474
33563,473
78154,473
